England,Newzealand,05-10-2023,14:00,Thursday,Narendra Modi Stadium
Pakistan,Netherlands,06-10-2023,14:00,Friday,Rajiv Gandhi International Stadium
Bangladesh,Afghanistan,07-10-2023,10:30,Saturday,HPCA Stadium
South Africa,Sri Lanka,07-10-2023,14:00,Saturday,Arun Jaitley Stadium
India,Australia,08-10-2023,14:00,Sunday,MA Chidambaram Stadium
Newzealand,Netherlands,09-10-2023,14:00,Monday,Rajiv Gandhi International Stadium
England,Bangladesh,10-10-2023,10:30,Tuesday,HPCA Stadium
Pakistan,Sri Lanka,10-10-2023,14:00,Tuesday,Rajiv Gandhi International Stadium
India,Afghanistan,11-10-2023,14:00,Wednesday,Arun Jaitley Stadium
South Africa,Australia,12-10-2023,14:00,Thursday,BRSABVE Cricket Stadium
Newzealand,Bangladesh,13-10-2023,14:00,Friday,MA Chidambaram Stadium
India,Pakistan,14-10-2023,14:00,Saturday,Narendra Modi Stadium
Afghanistan,England,15-10-2023,14:00,Sunday,Arun Jaitley Stadium
Australia,Sri Lanka,16-10-2023,14:00,Monday,BRSABVE Cricket Stadium
Netherlands,South Africa,17-10-2023,14:00,Tuesday,HPCA Stadium
Newzealand,Afghanistan,18-10-2023,14:00,Wednesday,MA Chidambaram Stadium
India,Bangladesh,19-10-2023,14:00,Thursday,MCA International Stadium
Australia,Pakistan,20-10-2023,14:00,Friday,M. Chinnaswamy Stadium
Sri Lanka,Netherlands,21-10-2023,10:30,Saturday,BRSABVE Cricket Stadium
South Africa,England,21-10-2023,14:00,Saturday,Wankhede Stadium
India,Newzealand,22-10-2023,14:00,Sunday,HPCA Stadium
Afghanistan,Pakistan,23-10-2023,14:00,Monday,MA Chidambaram Stadium
South Africa,Bangladesh,24-10-2023,14:00,Tuesday,Wankhede Stadium
Australia,Netherlands,25-10-2023,14:00,Wednesday,Arun Jaitley Stadium
Sri Lanka,England,26-10-2023,14:00,Thursday,M. Chinnaswamy Stadium
South Africa,Pakistan,27-10-2023,14:00,Friday,MA Chidambaram Stadium
Australia,Newzealand,28-10-2023,10:30,Saturday,HPCA Stadium
Netherlands,Bangladesh,28-10-2023,14:00,Saturday,Eden Gardens
India,England,29-10-2023,14:00,Sunday,BRSABVE Cricket Stadium
Afghanistan,Sri Lanka,30-10-2023,14:00,Monday,MCA International Stadium
Pakistan,Bangladesh,31-10-2023,14:00,Tuesday,Eden Gardens
Newzealand,South Africa,01-11-2023,14:00,Wednesday,MCA International Stadium
India,Sri Lanka,02-11-2023,14:00,Thursday,Wankhede Stadium
Netherlands,Afghanistan,03-11-2023,14:00,Friday,BRSABVE Cricket Stadium
Newzealand,Pakistan,04-11-2023,10:30,Saturday,M. Chinnaswamy Stadium
England,Australia,04-11-2023,14:00,Saturday,Narendra Modi Stadium
India,South Africa,05-11-2023,14:00,Sunday,Eden Gardens
Bangladesh,Sri Lanka,06-11-2023,14:00,Monday,Arun Jaitley Stadium
Australia,Afghanistan,07-11-2023,14:00,Tuesday,Wankhede Stadium
England,Netherlands,08-11-2023,14:00,Wednesday,MCA International Stadium
Newzealand,Sri Lanka,09-11-2023,14:00,Thursday,M. Chinnaswamy Stadium
South Africa,Afghanistan,10-11-2023,14:00,Friday,Narendra Modi Stadium
Australia,Bangladesh,11-11-2023,10:30,Saturday,MCA International Stadium
England,Pakistan,11-11-2023,14:00,Saturday,Eden Gardens
India,Netherlands,12-11-2023,14:00,Sunday,M. Chinnaswamy Stadium
